,SKU,Type,Description,Cost,Quantity (g),Vegan/Non-Vegan,Gluten-Free/Non-Gluten-Free
194,Mahi-mahi fillets,Seafood - Fish,"Mahi-mahi fillets are a delectable seafood option, known for their sweet and mild flavor. These white and firm fillets are sourced from the tropical waters of the Pacific and are a versatile choice for grilling, pan-searing, or baking. With their tender texture and delicate taste, Mahi-mahi fillets are a popular choice for seafood lovers looking to elevate their culinary creations. Dive into the delicious world of Mahi-mahi fillets for a delightful dining experience.",$1.08,937,Non-Vegan,Non-Gluten-Free
195,Flounder fillets,Seafood - Fish,"Flounder fillets are a delicious and versatile seafood option. These boneless, skinless fillets are carefully cut and expertly packaged to guarantee freshness and quality. With their mild and delicate flavor, flounder fillets can be easily prepared in a variety of ways, from pan-searing to grilling to baking. Whether you're a seafood enthusiast or looking to add more variety to your meals, flounder fillets are a fantastic choice for any culinary creation.",$4.83,455,Non-Vegan,Gluten-Free
196,Rainbow trout,Seafood - Fish,"Rainbow trout is a delicious and tender fish with a light, delicate flavor. This freshwater fish is known for its beautiful pink-orange flesh and distinctive rainbow-like coloring. It is a versatile seafood option that can be grilled, pan-seared, or baked for a healthy and flavorful meal. Enjoyed by seafood lovers for its mild taste and flaky texture, rainbow trout is a popular choice for fish enthusiasts.",$4.93,762,Vegan,Non-Gluten-Free
197,Halibut fillets,Seafood - Fish,"Halibut fillets are a premium seafood product made from the tender and flaky white flesh of the halibut fish. Known for their mild, sweet flavor and firm texture, these fillets are perfect for grilling, sautéing, or baking. Sourced from sustainable and responsible fisheries, halibut fillets are a delicious and nutritious option for a seafood dinner.",$2.25,965,Vegan,Gluten-Free
198,Catfish fillets,Seafood - Fish,"Catfish fillets are a delicious and versatile seafood option. These boneless, skinless fillets are known for their mild, sweet flavor and tender texture. Whether baked, grilled, or fried, catfish fillets make a satisfying and healthy meal option that will surely delight any seafood lover.",$3.35,475,Vegan,Non-Gluten-Free
199,Swordfish steaks,Seafood - Fish,"Swordfish steaks are a premium cut of fish known for their firm texture and rich, meaty flavor. These thick, delicious steaks are great for grilling, pan-searing, or broiling, and are perfect for seafood lovers looking for a hearty, flavorful meal. High in protein and packed with omega-3 fatty acids, swordfish steaks are a nutritious and delectable option for any seafood dish.",$2.80,317,Non-Vegan,Gluten-Free
200,Shrimp,Seafood - Shellfish,"'Shrimp' is a premium seafood product that offers sweet and succulent shellfish. Sourced from the finest and freshest shrimp, our product is perfect for grilling, sautéing, or adding to your favorite pasta dishes. Indulge in the delicate and buttery flavor of our shrimp, for a truly satisfying culinary experience.",$4.88,713,Non-Vegan,Gluten-Free
201,Lobster,Seafood - Shellfish,"Lobster is a premium shellfish known for its succulent, sweet, and tender meat. Sourced from the cold waters of the North Atlantic, our lobster is carefully harvested and delivered fresh to your table. Whether steamed, grilled, or added to pasta dishes, lobster is a luxurious and flavorful addition to any seafood meal.",$2.67,872,Non-Vegan,Gluten-Free
202,Crab,Seafood - Shellfish,"Fresh and succulent, our Crab is a premium shellfish delicacy. With its sweet and tender meat, it is perfect for adding a luxurious touch to any seafood dish. Whether enjoyed on its own or as part of a recipe, our Crab promises to elevate your dining experience with its exquisite taste and texture.",$4.69,742,Vegan,Gluten-Free
203,Clams,Seafood - Shellfish,"Clams are a delicious and versatile shellfish, prized for their sweet and briny flavor. These ocean gems can be enjoyed in a variety of dishes, from classic clam chowder to pasta dishes and paella. With their tender flesh and rich taste, clams are a must-have for any seafood lover.",$3.06,784,Non-Vegan,Gluten-Free
204,Mussels,Seafood - Shellfish,"Mussels are a type of shellfish known for their tender meat and distinctive briny flavor. These delicious bivalves are prized for their versatility and can be enjoyed in a wide variety of recipes, including soups, pastas, and seafood stews. Mussels are also a great source of protein and are rich in vitamins and minerals, making them a popular choice for seafood lovers looking to add a healthy and flavorful option to their meals.",$3.19,435,Vegan,Gluten-Free
205,Oysters,Seafood - Shellfish,"Oysters are a type of delicious shellfish known for their briny flavor and smooth, creamy texture. These ocean-dwelling mollusks are popularly enjoyed on the half-shell, grilled, or cooked in a variety of dishes. Oysters are prized for their unique taste and are a beloved delicacy for seafood enthusiasts.",$3.17,854,Vegan,Gluten-Free
206,Scallops,Seafood - Shellfish,"Scallops are a type of shellfish known for their delicate, sweet, and buttery flavor. They are tender and succulent, making them a popular choice for seafood lovers. Perfect for grilling, searing, or pan-frying, scallops are a versatile ingredient that can be used in a variety of dishes, from pastas to salads to appetizers. Rich in protein and low in fat, scallops are a nutritious addition to any meal.",$1.81,848,Vegan,Gluten-Free
207,Crawfish,Seafood - Shellfish,"Crawfish are freshwater crustaceans with a sweet and tender meat, often likened to a combination of shrimp and crab. These small shellfish are popular in Southern and Cajun cuisine, and are typically enjoyed boiled with Cajun spices for a flavorful and satisfying meal. Their delicate flavor and texture make them a versatile ingredient in a variety of seafood dishes.",$4.66,556,Non-Vegan,Gluten-Free
208,Octopus,Seafood - Shellfish,"Octopus is a delightful seafood delicacy known for its tender, mildly sweet flesh and unique, chewy texture. This versatile shellfish can be grilled, roasted, or used in a variety of dishes, from sushi to pasta. With its distinct flavor and striking appearance, Octopus is a popular choice for seafood enthusiasts looking to add a touch of sophistication to their culinary creations.",$1.28,337,Non-Vegan,Non-Gluten-Free
209,Squid,Seafood - Shellfish,"Squid, also known as calamari, is a type of shellfish prized for its tender, slightly chewy texture and delicate flavor. It can be prepared in a variety of ways, including grilled, fried, or sautéed, and is a popular addition to seafood pastas, salads, and risottos. With its versatile nature and mild taste, squid is a favorite among seafood lovers looking to add a touch of elegance to their meals.",$1.96,960,Vegan,Non-Gluten-Free
210,Beyond Meat Burger,Diet-Vegan,"The Beyond Meat Burger is a plant-based, vegan alternative to traditional burgers. Made with ingredients such as pea protein, beet juice extract, and coconut oil, this burger offers a delicious and juicy patty that closely mimics the taste and texture of meat. Packed with protein and free from cholesterol, the Beyond Meat Burger is a guilt-free option for those looking to enjoy a satisfying and plant-based burger experience.",$2.21,144,Vegan,Non-Gluten-Free
211,Daiya Dairy-Free Cheese,Diet-Vegan,"Daiya Dairy-Free Cheese is a delicious and versatile vegan cheese alternative. Made from plant-based ingredients, this dairy-free cheese is perfect for those following a vegan or dairy-free diet. With a rich and creamy texture, it melts and stretches just like traditional cheese, making it ideal for pizzas, pastas, sandwiches, and more. Enjoy the indulgent taste of cheese without any of the dairy.",$3.50,659,Vegan,Gluten-Free
212,Gardein Meatless Chick'n,Diet-Vegan,"Gardein Meatless Chick'n is a delicious and protein-packed vegan alternative to chicken. Made with plant-based ingredients, it provides a satisfying meatless option for those following a vegan or vegetarian diet. It has a great texture and flavor, making it an easy and versatile ingredient for all your favorite recipes. Enjoy the taste of chicken without any of the guilt or animal products with Gardein Meatless Chick'n.",$1.59,797,Vegan,Non-Gluten-Free
213,Silk Almond Milk,Diet-Vegan,"Silk Almond Milk is a delicious and creamy plant-based alternative to dairy milk. Made from real almonds and free from any animal products, this vegan-friendly beverage is packed with nutrients and is perfect for those seeking a dairy-free lifestyle. Enjoy Silk Almond Milk in your morning cereal, smoothies, or as a refreshing drink on its own. It's a guilt-free, tasty and satisfying option for anyone looking to embrace a vegan diet.",$1.15,245,Non-Vegan,Gluten-Free
214,Amy's Organic Vegan Pizza,Diet-Vegan,"Amy's Organic Vegan Pizza is a delectable plant-based pizza made with high-quality organic ingredients. This delicious pizza is free from animal products, making it a perfect choice for those following a vegan diet. Topped with savory tomato sauce, dairy-free cheese, and a variety of fresh vegetables, this pizza offers a satisfying and flavorful dining experience for vegans and non-vegans alike. Enjoy a guilt-free slice of pizza with Amy's Organic Vegan Pizza.",$1.65,511,Vegan,Gluten-Free
215,Field Roast Vegan Sausages,Diet-Vegan,"Field Roast Vegan Sausages are a delicious and satisfying plant-based alternative to traditional sausages. Made with high-quality, wholesome ingredients like grains, vegetables, and spices, these sausages are packed with flavor and protein. Perfect for grilling, pan-frying, or adding to your favorite recipes, these vegan sausages are a tasty and cruelty-free option for those following a vegan or plant-based diet.",$2.14,799,Vegan,Gluten-Free
216,Tofurky Deli Slices,Diet-Vegan,"Tofurky Deli Slices are a delicious and versatile vegan alternative to traditional deli meats. Made from organic tofu and seasoned with herbs and spices, these slices are perfect for sandwiches, wraps, salads, and more. A healthy and animal-friendly option for those following a vegan or plant-based diet.",$4.98,213,Vegan,Gluten-Free
